"Name","DisplayName","Parent","Category","Description","Tier","Purpose"
"allcontractors","All Contractors","","Organizational","All contract workers","Bulk","Bulk directory volume, mapped from the AD provider (Organizational)"
"allinterns","All Interns","","Organizational","All intern employees","Bulk","Bulk directory volume, mapped from the AD provider (Organizational)"
"executives","Executives","seniormanagement","Departmental","Executive team members","Bulk","Bulk directory volume, mapped from the AD provider (Departmental)"
"operations","Operations","allemployees","Departmental","Operations team members","Bulk","Bulk directory volume, mapped from the AD provider (Departmental)"
"engineering","Engineering","allemployees","Departmental","Engineering team members","Bulk","Bulk directory volume, mapped from the AD provider (Departmental)"
"engineeringoperations","Engineering Operations","engineering","Departmental","Engineering Operations team","Bulk","Bulk directory volume, mapped from the AD provider (Departmental)"
"sales","Sales","allemployees","Departmental","Sales team members","Bulk","Bulk directory volume, mapped from the AD provider (Departmental)"
"salesmanagement","Sales Management","managers;sales","Departmental","Sales management team","Bulk","Bulk directory volume, mapped from the AD provider (Departmental)"
"marketing","Marketing","allemployees","Departmental","Marketing team members","Bulk","Bulk directory volume, mapped from the AD provider (Departmental)"
"accounting","Accounting","allemployees","Departmental","Accounting team members","Bulk","Bulk directory volume, mapped from the AD provider (Departmental)"
"finance","Finance","accounting","Departmental","Finance team members","Bulk","Bulk directory volume, mapped from the AD provider (Departmental)"
"humanresources","Human Resources","allemployees","Departmental","HR team members","Bulk","Bulk directory volume, mapped from the AD provider (Departmental)"
"projectmanagement","Project Management","allemployees","Departmental","Project Management team","Bulk","Bulk directory volume, mapped from the AD provider (Departmental)"
"strategyconsulting","Strategy Consulting","","Departmental","Strategy Consulting team","Bulk","Bulk directory volume, mapped from the AD provider (Departmental)"
"contentmanagement","Content Management","","Departmental","Content Management team","Bulk","Bulk directory volume, mapped from the AD provider (Departmental)"
"crmstrategy","CRM Strategy","","Departmental","CRM Strategy team","Bulk","Bulk directory volume, mapped from the AD provider (Departmental)"
"seniormanagement","Senior Management","allemployees","Departmental","Senior management team","Bulk","Bulk directory volume, mapped from the AD provider (Departmental)"
"directors","Directors","managers","Management Level","All directors","Bulk","Bulk directory volume, mapped from the AD provider (Management Level)"
"managers","Managers","allemployees","Management Level","All managers","Bulk","Bulk directory volume, mapped from the AD provider (Management Level)"
"vpsandabove","VPs and Above","managers","Management Level","Vice Presidents and above","Bulk","Bulk directory volume, mapped from the AD provider (Management Level)"
"clevel","C-Level","vpsandabove","Management Level","C-Level executives","Bulk","Bulk directory volume, mapped from the AD provider (Management Level)"
"seattlemainoffice","Seattle Main Office","","Geographic","Seattle main office employees","Bulk","Bulk directory volume, mapped from the AD provider (Geographic)"
"seattleengineeringoffice","Seattle Engineering Office","","Geographic","Seattle engineering office","Bulk","Bulk directory volume, mapped from the AD provider (Geographic)"
"seattlefinanceoffice","Seattle Finance Office","","Geographic","Seattle finance office","Bulk","Bulk directory volume, mapped from the AD provider (Geographic)"
"houstonoffice","Houston Office","","Geographic","Houston office employees","Bulk","Bulk directory volume, mapped from the AD provider (Geographic)"
"newyorkoffice","New York Office","","Geographic","New York office employees","Bulk","Bulk directory volume, mapped from the AD provider (Geographic)"
"chicagooffice","Chicago Office","","Geographic","Chicago office employees","Bulk","Bulk directory volume, mapped from the AD provider (Geographic)"
"atlantaoffice","Atlanta Office","","Geographic","Atlanta office employees","Bulk","Bulk directory volume, mapped from the AD provider (Geographic)"
"bostonoffice","Boston Office","","Geographic","Boston office employees","Bulk","Bulk directory volume, mapped from the AD provider (Geographic)"
"losangelesoffice","Los Angeles Office","","Geographic","LA office employees","Bulk","Bulk directory volume, mapped from the AD provider (Geographic)"
"richmondoffice","Richmond Office","","Geographic","Richmond office employees","Bulk","Bulk directory volume, mapped from the AD provider (Geographic)"
"londonoffice","London Office","","Geographic","London office employees","Bulk","Bulk directory volume, mapped from the AD provider (Geographic)"
"remoteworkers","Remote Workers","","Geographic","Remote field workers","Bulk","Bulk directory volume, mapped from the AD provider (Geographic)"
"fulltimeemployees","Full Time Employees","allemployees","Employment Type","All full-time employees","Bulk","Bulk directory volume, mapped from the AD provider (Employment Type)"
"contractworkers","Contract Workers","allcontractors","Employment Type","All contract workers","Bulk","Bulk directory volume, mapped from the AD provider (Employment Type)"
"internemployees","Intern Employees","allinterns","Employment Type","All intern employees","Bulk","Bulk directory volume, mapped from the AD provider (Employment Type)"
"mobiledeviceusers","Mobile Device Users","","Device Access","Users with mobile devices","Bulk","Bulk directory volume, mapped from the AD provider (Device Access)"
"laptopusers","Laptop Users","","Device Access","Users with laptop computers","Bulk","Bulk directory volume, mapped from the AD provider (Device Access)"
"workstationusers","Workstation Users","fileshareusers","Device Access","Users with desktop workstations","Bulk","Bulk directory volume, mapped from the AD provider (Device Access)"
"executivecomputing","Executive Computing","executivefileaccess;workstationusers","Device Access","Executive computing resources","Bulk","Bulk directory volume, mapped from the AD provider (Device Access)"
"engineeringcomputing","Engineering Computing","workstationusers","Device Access","Engineering computing resources","Bulk","Bulk directory volume, mapped from the AD provider (Device Access)"
"salescomputing","Sales Computing","","Device Access","Sales computing resources","Bulk","Bulk directory volume, mapped from the AD provider (Device Access)"
"fileshareusers","File Share Users","","Resource Access","General file share access","Bulk","Bulk directory volume, mapped from the AD provider (Resource Access)"
"executivefileaccess","Executive File Access","fileshareusers","Resource Access","Executive file share access","Bulk","Bulk directory volume, mapped from the AD provider (Resource Access)"
"financefileaccess","Finance File Access","","Resource Access","Finance file share access","Bulk","Bulk directory volume, mapped from the AD provider (Resource Access)"
"hrfileaccess","HR File Access","","Resource Access","HR file share access","Bulk","Bulk directory volume, mapped from the AD provider (Resource Access)"
"engineeringfileaccess","Engineering File Access","fileshareusers","Resource Access","Engineering file share access","Bulk","Bulk directory volume, mapped from the AD provider (Resource Access)"
"projectfileaccess","Project File Access","","Resource Access","Project file share access","Bulk","Bulk directory volume, mapped from the AD provider (Resource Access)"
"emailusers","Email Users","","Resource Access","Exchange email access","Bulk","Bulk directory volume, mapped from the AD provider (Resource Access)"
"calendarusers","Calendar Users","","Resource Access","Exchange calendar access","Bulk","Bulk directory volume, mapped from the AD provider (Resource Access)"
"internetaccessbasic","Internet Access Basic","","Resource Access","Basic internet access","Bulk","Bulk directory volume, mapped from the AD provider (Resource Access)"
"internetaccessfull","Internet Access Full","","Resource Access","Full internet access","Bulk","Bulk directory volume, mapped from the AD provider (Resource Access)"
"softwareinstallation","Software Installation","","Resource Access","Software installation rights","Bulk","Bulk directory volume, mapped from the AD provider (Resource Access)"
"printeraccessmain","Printer Access Main","","Resource Access","Main office printer access","Bulk","Bulk directory volume, mapped from the AD provider (Resource Access)"
"printeraccessengineering","Printer Access Engineering","colorprinteraccess;engineeringfileaccess","Resource Access","Engineering printer access","Bulk","Bulk directory volume, mapped from the AD provider (Resource Access)"
"printeraccessfinance","Printer Access Finance","","Resource Access","Finance printer access","Bulk","Bulk directory volume, mapped from the AD provider (Resource Access)"
"colorprinteraccess","Color Printer Access","fileshareusers","Resource Access","Color printer access","Bulk","Bulk directory volume, mapped from the AD provider (Resource Access)"
"serverroomaccess","Server Room Access","","Physical Access","Physical server room access","Bulk","Bulk directory volume, mapped from the AD provider (Physical Access)"
"executiveflooraccess","Executive Floor Access","","Physical Access","Executive floor physical access","Bulk","Bulk directory volume, mapped from the AD provider (Physical Access)"
"afterhoursaccess","After Hours Access","","Physical Access","Building access after hours","Bulk","Bulk directory volume, mapped from the AD provider (Physical Access)"
"conferenceroombooking","Conference Room Booking","","Resource Access","Conference room booking rights","Bulk","Bulk directory volume, mapped from the AD provider (Resource Access)"
"expensesystemaccess","Expense System Access","","Application Access","Expense reporting system","Bulk","Bulk directory volume, mapped from the AD provider (Application Access)"
"payrollsystemaccess","Payroll System Access","hrapplications","Application Access","Payroll system access","Bulk","Bulk directory volume, mapped from the AD provider (Application Access)"
"crmsystemaccess","CRM System Access","","Application Access","CRM system access","Bulk","Bulk directory volume, mapped from the AD provider (Application Access)"
"projectmanagementtools","Project Management Tools","","Application Access","Project management software","Bulk","Bulk directory volume, mapped from the AD provider (Application Access)"
"developmenttools","Development Tools","engineeringcomputing","Application Access","Software development tools","Bulk","Bulk directory volume, mapped from the AD provider (Application Access)"
"designtools","Design Tools","","Application Access","Design and creative software","Bulk","Bulk directory volume, mapped from the AD provider (Application Access)"
"financialapplications","Financial Applications","financefileaccess","Application Access","Financial software access","Bulk","Bulk directory volume, mapped from the AD provider (Application Access)"
"hrapplications","HR Applications","","Application Access","HR software access","Bulk","Bulk directory volume, mapped from the AD provider (Application Access)"
"businessintelligence","Business Intelligence","","Application Access","BI and reporting tools","Bulk","Bulk directory volume, mapped from the AD provider (Application Access)"
"databaseaccessread","Database Access Read","","Application Access","Database read access","Bulk","Bulk directory volume, mapped from the AD provider (Application Access)"
"databaseaccesswrite","Database Access Write","databaseaccessread","Application Access","Database write access","Bulk","Bulk directory volume, mapped from the AD provider (Application Access)"
"backupsystemaccess","Backup System Access","","Application Access","Backup and recovery access","Bulk","Bulk directory volume, mapped from the AD provider (Application Access)"
"monitoringsystemaccess","Monitoring System Access","","Application Access","System monitoring access","Bulk","Bulk directory volume, mapped from the AD provider (Application Access)"
"securityeventreview","Security Event Review","","Application Access","Security event log access","Bulk","Bulk directory volume, mapped from the AD provider (Application Access)"
"compliancereporting","Compliance Reporting","","Application Access","Compliance reporting access","Bulk","Bulk directory volume, mapped from the AD provider (Application Access)"
"genvefinancereview","Genève Finance Review","financefileaccess","Application Access","Finance review workspace for the Genève entity","Bulk","Bulk directory volume, mapped from the AD provider (Application Access)"
"ingnierierseau","Ingénierie Réseau","engineeringfileaccess","Application Access","Network engineering tooling - ingénierie réseau","Bulk","Bulk directory volume, mapped from the AD provider (Application Access)"
