"Name","Description","OperatingSystem","Platform","Locality","Location","Class","MacAddress","SshPublicKey","AuthIndicator","ManagedBy","Hostgroups","Tier","Purpose"
"sea-pm-001","Project Management workstation for Director Alan Steiner","Windows 11 Pro","Dell OptiPlex 5090","Seattle - Main","","workstation","00:11:22:33:44:03","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"sea-pm-002","Project Management workstation for PM Chris Norred","Windows 11 Pro","Dell OptiPlex 5090","Seattle - Main","","workstation","00:11:22:33:44:04","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"sea-ops-002","Operations workstation for CFO Diane Tibbot","Windows 11 Enterprise","Dell OptiPlex 7090","Seattle - Main","","workstation","00:11:22:33:44:05","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"sea-eng-001","Engineering workstation for Managing Director Christine Koch","Windows 11 Pro for Workstations","Dell Precision 7670","Seattle - Engineering","","workstation","00:11:22:33:44:06","","","","workstations;site-seattleengineering","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"sea-exec-002","Executive workstation for COO Frank Martinez","Windows 11 Enterprise","Dell OptiPlex 7090","Seattle - Main","","workstation","00:11:22:33:44:07","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"sea-acc-001","Accounting workstation for Controller Karim Manar","Windows 11 Pro","Dell OptiPlex 5090","Seattle - Finance","","workstation","00:11:22:33:44:08","","","","workstations;site-seattlefinance","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"hou-sales-001","Sales workstation for VP Dan Park","Windows 11 Pro","Dell OptiPlex 5090","Houston - Sales","","workstation","00:11:22:33:44:09","","","","workstations;site-houstonsales","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"sea-exec-003","Executive workstation for CVP Jeff Hay","Windows 11 Enterprise","Dell OptiPlex 7090","Seattle - Main","","workstation","00:11:22:33:44:10","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"sea-dc-001","Primary Domain Controller for Seattle office","Windows Server 2022 Datacenter","Dell PowerEdge R750","Seattle - Main","","domain-controller","00:11:22:33:AA:01","","","","domain-controllers;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Domain Controller)"
"sea-dc-002","Secondary Domain Controller for Seattle office","Windows Server 2022 Datacenter","Dell PowerEdge R750","Seattle - Main","","domain-controller","00:11:22:33:AA:02","","","","domain-controllers;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Domain Controller)"
"sea-file-001","Primary file server for Seattle office","Windows Server 2022 Standard","Dell PowerEdge R740","Seattle - Main","","file-server","00:11:22:33:AA:03","","","","file-servers;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (File Server)"
"sea-sql-001","SQL Server for corporate applications","Windows Server 2022 Standard","Dell PowerEdge R750","Seattle - Main","","database-server","00:11:22:33:AA:04","","","","database-servers;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Database Server)"
"sea-ex-001","Exchange Server for email services","Windows Server 2022 Standard","Dell PowerEdge R740","Seattle - Main","","mail-server","00:11:22:33:AA:05","","","","mail-servers;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Exchange Server)"
"hou-dc-001","Domain Controller for Houston office","Windows Server 2022 Standard","Dell PowerEdge R650","Houston - Sales","","domain-controller","00:11:22:33:BB:01","","","","domain-controllers;site-houstonsales","Bulk","Bulk host volume, mapped from the AD provider (Domain Controller)"
"hou-file-001","File server for Houston office","Windows Server 2022 Standard","Dell PowerEdge R640","Houston - Sales","","file-server","00:11:22:33:BB:02","","","","file-servers;site-houstonsales","Bulk","Bulk host volume, mapped from the AD provider (File Server)"
"nyc-dc-001","Domain Controller for New York office","Windows Server 2022 Standard","Dell PowerEdge R650","New York - Strategy","","domain-controller","00:11:22:33:CC:01","","","","domain-controllers;site-newyorkstrategy","Bulk","Bulk host volume, mapped from the AD provider (Domain Controller)"
"nyc-file-001","File server for New York office","Windows Server 2022 Standard","Dell PowerEdge R640","New York - Strategy","","file-server","00:11:22:33:CC:02","","","","file-servers;site-newyorkstrategy","Bulk","Bulk host volume, mapped from the AD provider (File Server)"
"laptop-001","Executive laptop for CEO Dan Jump","Windows 11 Enterprise","Dell Latitude 9330","Seattle - Main","","workstation","00:11:22:33:EE:01","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-002","Executive laptop for GM Adam Barr","Windows 11 Enterprise","Dell Latitude 9330","Seattle - Main","","workstation","00:11:22:33:EE:02","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-003","Engineering laptop for MD Christine Koch","Windows 11 Pro for Workstations","Dell Precision 5570","Seattle - Engineering","","workstation","00:11:22:33:EE:03","","","","workstations;site-seattleengineering","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"sea-humanr-050","Workstation for HR Manager Garth Fort","Windows 11 Pro","Dell OptiPlex 5090","Seattle - Main","","workstation","00:11:22:33:44:32","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-050","Executive laptop for Garth Fort","Windows 11 Pro","Dell Latitude 9330","Seattle - Main","","workstation","00:11:22:33:EE:32","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"nyc-strate-051","Workstation for Strategy Consulting Manager Cesar Garcia","Windows 11 Pro","Dell Latitude 5530","New York - Strategy","","workstation","00:11:22:33:44:33","","","","workstations;site-newyorkstrategy","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-051","Executive laptop for Cesar Garcia","Windows 11 Pro","Dell Latitude 9330","New York - Strategy","","workstation","00:11:22:33:EE:33","","","","workstations;site-newyorkstrategy","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"sea-execut-052","Workstation for CVP of Online Christa Geller","Windows 11 Enterprise","Dell OptiPlex 7090","Seattle - Main","","workstation","00:11:22:33:44:34","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-052","Executive laptop for Christa Geller","Windows 11 Enterprise","Dell Latitude 9330","Seattle - Main","","workstation","00:11:22:33:EE:34","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"sea-salese-053","Workstation for Managing Director Jack Creasey","Windows 11 Pro","Dell OptiPlex 3090","Seattle - Main","","workstation","00:11:22:33:44:35","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-053","Executive laptop for Jack Creasey","Windows 11 Pro","Dell Latitude 9330","Seattle - Main","","workstation","00:11:22:33:EE:35","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"nyc-strate-054","Workstation for Strategy Consulting Manager David Maman","Windows 11 Pro","Dell Latitude 5530","New York - Strategy","","workstation","00:11:22:33:44:36","","","","workstations;site-newyorkstrategy","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-054","Executive laptop for David Maman","Windows 11 Pro","Dell Latitude 9330","New York - Strategy","","workstation","00:11:22:33:EE:36","","","","workstations;site-newyorkstrategy","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"ric-sales-055","Workstation for Regional Sales Manager Alan Brewer","Windows 11 Pro","Dell OptiPlex 5090","Richmond - East","","workstation","00:11:22:33:44:37","","","","workstations;site-richmondeast","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-055","Executive laptop for Alan Brewer","Windows 11 Pro","Dell Latitude 9330","Richmond - East","","workstation","00:11:22:33:EE:37","","","","workstations;site-richmondeast","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"sea-salese-056","Workstation for Sales Manager David Simpson","Windows 11 Pro","Dell OptiPlex 3090","Seattle - Main","","workstation","00:11:22:33:44:38","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-056","Executive laptop for David Simpson","Windows 11 Pro","Dell Latitude 9330","Seattle - Main","","workstation","00:11:22:33:EE:38","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"sea-senior-057","Workstation for SVP of Online Services Anna Lidman","Windows 11 Enterprise","Dell OptiPlex 7090","Seattle - Main","","workstation","00:11:22:33:44:39","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-057","Executive laptop for Anna Lidman","Windows 11 Enterprise","Dell Latitude 9330","Seattle - Main","","workstation","00:11:22:33:EE:39","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"bel-sales-058","Workstation for Regional Sales Manager Eduard Dell","Windows 11 Pro","Dell OptiPlex 5090","Seattle - Satellite","","workstation","00:11:22:33:44:3A","","","","workstations;site-seattlesatellite","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-058","Executive laptop for Eduard Dell","Windows 11 Pro","Dell Latitude 9330","Seattle - Satellite","","workstation","00:11:22:33:EE:3A","","","","workstations;site-seattlesatellite","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"bel-sales-059","Workstation for Regional Sales Manager Spencer Low","Windows 11 Pro","Dell OptiPlex 5090","Seattle - Satellite","","workstation","00:11:22:33:44:3B","","","","workstations;site-seattlesatellite","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-059","Executive laptop for Spencer Low","Windows 11 Pro","Dell Latitude 9330","Seattle - Satellite","","workstation","00:11:22:33:EE:3B","","","","workstations;site-seattlesatellite","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"sea-operat-060","Workstation for CTO of Professional Services Kelly Weadock","Windows 11 Enterprise","Dell OptiPlex 7090","Seattle - Main","","workstation","00:11:22:33:44:3C","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"sea-senior-061","Workstation for GM of Online Ad Sales and Affiliate Marketing Molly Clark","Windows 11 Enterprise","Dell OptiPlex 7090","Seattle - Main","","workstation","00:11:22:33:44:3D","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-061","Executive laptop for Molly Clark","Windows 11 Enterprise","Dell Latitude 9330","Seattle - Main","","workstation","00:11:22:33:EE:3D","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"nyc-sales-062","Workstation for Regional Sales Manager Larry Zhang","Windows 11 Pro","Dell OptiPlex 5090","New York - Northeast","","workstation","00:11:22:33:44:3E","","","","workstations;site-newyorknortheast","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-062","Executive laptop for Larry Zhang","Windows 11 Pro","Dell Latitude 9330","New York - Northeast","","workstation","00:11:22:33:EE:3E","","","","workstations;site-newyorknortheast","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"sea-operat-063","Workstation for IT Director Arturo Lopez","Windows 11 Enterprise","Dell OptiPlex 7090","Seattle - Main","","workstation","00:11:22:33:44:3F","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-063","Executive laptop for Arturo Lopez","Windows 11 Enterprise","Dell Latitude 9330","Seattle - Main","","workstation","00:11:22:33:EE:3F","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"chi-sales-064","Workstation for Sales Manager April Stewart","Windows 11 Pro","Dell OptiPlex 5090","Chicago - Central","","workstation","00:11:22:33:44:40","","","","workstations;site-chicagocentral","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-064","Executive laptop for April Stewart","Windows 11 Pro","Dell Latitude 9330","Chicago - Central","","workstation","00:11:22:33:EE:40","","","","workstations;site-chicagocentral","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"nyc-strate-065","Workstation for Strategy Consulting Manager Aaron Painter","Windows 11 Pro","Dell Latitude 5530","New York - Strategy","","workstation","00:11:22:33:44:41","","","","workstations;site-newyorkstrategy","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-065","Executive laptop for Aaron Painter","Windows 11 Pro","Dell Latitude 9330","New York - Strategy","","workstation","00:11:22:33:EE:41","","","","workstations;site-newyorkstrategy","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"sea-projec-066","Workstation for Senior Project Manager Andrew Ma","Windows 11 Pro","Dell OptiPlex 5090","Seattle - Main","","workstation","00:11:22:33:44:42","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-066","Executive laptop for Andrew Ma","Windows 11 Pro","Dell Latitude 9330","Seattle - Main","","workstation","00:11:22:33:EE:42","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"sea-market-067","Workstation for Director of Ad Sales Diane Prescott","Windows 11 Pro","Dell OptiPlex 5090","Seattle - Main","","workstation","00:11:22:33:44:43","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-067","Executive laptop for Diane Prescott","Windows 11 Pro","Dell Latitude 9330","Seattle - Main","","workstation","00:11:22:33:EE:43","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"sea-salese-068","Workstation for Sales Manager Arthur Yasinski","Windows 11 Pro","Dell OptiPlex 3090","Dallas - South","","workstation","00:11:22:33:44:44","","","","workstations;site-dallassouth","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-068","Executive laptop for Arthur Yasinski","Windows 11 Pro","Dell Latitude 9330","Dallas - South","","workstation","00:11:22:33:EE:44","","","","workstations;site-dallassouth","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"nyc-strate-069","Workstation for Strategy Consulting Manager Brad Sutton","Windows 11 Pro","Dell Latitude 5530","New York - Strategy","","workstation","00:11:22:33:44:45","","","","workstations;site-newyorkstrategy","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-069","Executive laptop for Brad Sutton","Windows 11 Pro","Dell Latitude 9330","New York - Strategy","","workstation","00:11:22:33:EE:45","","","","workstations;site-newyorkstrategy","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"sea-humanr-070","Workstation for HR Manager Amy Alberts","Windows 11 Pro","Dell OptiPlex 5090","Seattle - Main","","workstation","00:11:22:33:44:46","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-070","Executive laptop for Amy Alberts","Windows 11 Pro","Dell Latitude 9330","Seattle - Main","","workstation","00:11:22:33:EE:46","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"sea-sales-071","Workstation for Regional Sales Manager Steve Luper","Windows 11 Pro","Dell OptiPlex 5090","Seattle - Main","","workstation","00:11:22:33:44:47","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-071","Executive laptop for Steve Luper","Windows 11 Pro","Dell Latitude 9330","Seattle - Main","","workstation","00:11:22:33:EE:47","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"sea-senior-072","Workstation for Sr. Business Development Manager Julian Isla","Windows 11 Enterprise","Dell OptiPlex 7090","Seattle - Main","","workstation","00:11:22:33:44:48","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-072","Executive laptop for Julian Isla","Windows 11 Enterprise","Dell Latitude 9330","Seattle - Main","","workstation","00:11:22:33:EE:48","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"sea-projec-073","Workstation for Senior Project Manager Scott Bishop","Windows 11 Pro","Dell OptiPlex 5090","Seattle - Main","","workstation","00:11:22:33:44:49","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-073","Executive laptop for Scott Bishop","Windows 11 Pro","Dell Latitude 9330","Seattle - Main","","workstation","00:11:22:33:EE:49","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"sea-market-074","Workstation for Marketing Manager Kelly Krout","Windows 11 Pro","Dell OptiPlex 5090","Seattle - Main","","workstation","00:11:22:33:44:4A","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-074","Executive laptop for Kelly Krout","Windows 11 Pro","Dell Latitude 9330","Seattle - Main","","workstation","00:11:22:33:EE:4A","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"sea-conten-075","Workstation for Content Management Consulting Manager Stan Orme","Windows 11 Pro","Dell OptiPlex 3090","Seattle - Main","","workstation","00:11:22:33:44:4B","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-075","Executive laptop for Stan Orme","Windows 11 Pro","Dell Latitude 9330","Seattle - Main","","workstation","00:11:22:33:EE:4B","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"sea-projec-076","Workstation for Senior Project Manager Mike Nash","Windows 11 Pro","Dell OptiPlex 5090","Seattle - Main","","workstation","00:11:22:33:44:4C","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-076","Executive laptop for Mike Nash","Windows 11 Pro","Dell Latitude 9330","Seattle - Main","","workstation","00:11:22:33:EE:4C","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"sea-strate-077","Workstation for Strategy Consultant Jenni Merrifield","Windows 11 Pro","Dell Latitude 5530","Seattle - Main","","workstation","00:11:22:33:44:4D","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"sea-operat-078","Workstation for Procurement Manager Keith Dishmo","Windows 11 Enterprise","Dell OptiPlex 7090","Seattle - Main","","workstation","00:11:22:33:44:4E","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-078","Executive laptop for Keith Dishmo","Windows 11 Enterprise","Dell Latitude 9330","Seattle - Main","","workstation","00:11:22:33:EE:4E","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"sea-sales-079","Workstation for Sales Manager Jose Saraiva","Windows 11 Pro","Dell OptiPlex 5090","Seattle - Main","","workstation","00:11:22:33:44:4F","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-079","Executive laptop for Jose Saraiva","Windows 11 Pro","Dell Latitude 9330","Seattle - Main","","workstation","00:11:22:33:EE:4F","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"rem-salese-080","Workstation for Sales Manager Lene Aalling","Windows 11 Pro","Dell OptiPlex 3090","Remote - Field Sales","","workstation","00:11:22:33:44:50","","","","workstations;site-remotefieldsales","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-080","Executive laptop for Lene Aalling","Windows 11 Pro","Dell Latitude 9330","Remote - Field Sales","","workstation","00:11:22:33:EE:50","","","","workstations;site-remotefieldsales","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"sea-projec-081","Workstation for Project Manager Barry Johnson","Windows 11 Pro","Dell OptiPlex 5090","Seattle - Main","","workstation","00:11:22:33:44:51","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-081","Executive laptop for Barry Johnson","Windows 11 Pro","Dell Latitude 9330","Seattle - Main","","workstation","00:11:22:33:EE:51","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"nyc-strate-082","Workstation for Strategy Consulting Manager Ellen Adams","Windows 11 Pro","Dell Latitude 5530","New York - Strategy","","workstation","00:11:22:33:44:52","","","","workstations;site-newyorkstrategy","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-082","Executive laptop for Ellen Adams","Windows 11 Pro","Dell Latitude 9330","New York - Strategy","","workstation","00:11:22:33:EE:52","","","","workstations;site-newyorkstrategy","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"sea-operat-083","Workstation for Manager Ben Spain","Windows 11 Enterprise","Dell OptiPlex 7090","Seattle - Main","","workstation","00:11:22:33:44:53","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-083","Executive laptop for Ben Spain","Windows 11 Enterprise","Dell Latitude 9330","Seattle - Main","","workstation","00:11:22:33:EE:53","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"sea-eng-engine-084","Workstation for Managing Director David Zazzo","Windows 11 Pro for Workstations","Dell Precision 5570","Seattle - Engineering","","workstation","00:11:22:33:44:54","","","","workstations;site-seattleengineering","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-084","Executive laptop for David Zazzo","Windows 11 Pro for Workstations","Dell Precision 5570","Seattle - Engineering","","workstation","00:11:22:33:EE:54","","","","workstations;site-seattleengineering","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"sea-eng-engine-085","Workstation for Strategy Consulting Manager Carol Troup","Windows 11 Pro for Workstations","Dell Precision 5570","Seattle - Engineering","","workstation","00:11:22:33:44:55","","","","workstations;site-seattleengineering","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-085","Executive laptop for Carol Troup","Windows 11 Pro for Workstations","Dell Precision 5570","Seattle - Engineering","","workstation","00:11:22:33:EE:55","","","","workstations;site-seattleengineering","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"sea-operat-086","Workstation for Manager Erika Cheley","Windows 11 Enterprise","Dell OptiPlex 7090","Seattle - Main","","workstation","00:11:22:33:44:56","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-086","Executive laptop for Erika Cheley","Windows 11 Enterprise","Dell Latitude 9330","Seattle - Main","","workstation","00:11:22:33:EE:56","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"sea-projec-087","Workstation for Project Manager Brian Groth","Windows 11 Pro","Dell OptiPlex 5090","Seattle - Main","","workstation","00:11:22:33:44:57","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-087","Executive laptop for Brian Groth","Windows 11 Pro","Dell Latitude 9330","Seattle - Main","","workstation","00:11:22:33:EE:57","","","","workstations;site-seattlemain","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"lon-crmstr-088","Workstation for CRM Consulting Manager Syed Abbas","Windows 11 Pro","Dell OptiPlex 3090","London - International","","workstation","00:11:22:33:44:58","","","","workstations;site-londoninternational","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"laptop-088","Executive laptop for Syed Abbas","Windows 11 Pro","Dell Latitude 9330","London - International","","workstation","00:11:22:33:EE:58","","","","workstations;site-londoninternational","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"lon-conten-089","Workstation for Content Management Consultant Peder Thode","Windows 11 Pro","Dell OptiPlex 3090","London - International","","workstation","00:11:22:33:44:59","","","","workstations;site-londoninternational","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"lon-conten-090","Workstation for Content Management Consultant Mary Cha","Windows 11 Pro","Dell OptiPlex 3090","London - International","","workstation","00:11:22:33:44:5A","","","","workstations;site-londoninternational","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"lon-conten-091","Workstation for Content Management Consultant Lisa Andrews","Windows 11 Pro","Dell OptiPlex 3090","London - International","","workstation","00:11:22:33:44:5B","","","","workstations;site-londoninternational","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"lon-conten-092","Workstation for Content Management Consultant Jim Lucey","Windows 11 Pro","Dell OptiPlex 3090","London - International","","workstation","00:11:22:33:44:5C","","","","workstations;site-londoninternational","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"lon-conten-093","Workstation for Content Management Consultant Gareth Chan","Windows 11 Pro","Dell OptiPlex 3090","London - International","","workstation","00:11:22:33:44:5D","","","","workstations;site-londoninternational","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"lon-crmstr-094","Workstation for CRM Consultant Karin Lamb","Windows 11 Pro","Dell OptiPlex 3090","London - International","","workstation","00:11:22:33:44:5E","","","","workstations;site-londoninternational","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"lon-conten-095","Workstation for CRM Consultant David Hamilton","Windows 11 Pro","Dell OptiPlex 3090","London - International","","workstation","00:11:22:33:44:5F","","","","workstations;site-londoninternational","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"lon-crmstr-096","Workstation for CRM Consultant Merav Sror","Windows 11 Pro","Dell OptiPlex 3090","London - International","","workstation","00:11:22:33:44:60","","","","workstations;site-londoninternational","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
"lon-conten-097","Workstation for Content Management Consultant Reina Cabatana","Windows 11 Pro","Dell OptiPlex 3090","London - International","","workstation","00:11:22:33:44:61","","","","workstations;site-londoninternational","Bulk","Bulk host volume, mapped from the AD provider (Workstation)"
