"GroupName","GroupType","GroupScope","Description","Category","MembershipCriteria","AutoAssignment","MemberLimit","MemberSource","MemberFilter","Mail","Info","ManagedBy","MemberOfGroup"
"Color Printer Access","Security","Global","Color printer access","Resource Access","Marketing and executive teams","True","","","Department -eq 'Marketing' -or Department -eq 'Executive' -or Department -eq 'Senior Management'","","","","File Share Users"
"Server Room Access","Security","Global","Physical server room access","Physical Access","IT staff and facilities","True","","","Department -eq 'Operations' -and (Title -like '*IT*' -or Title -like '*Manager*')","","Physical access to the Seattle data hall. Badge sync nightly.","Erika Cheley",""
"Executive Floor Access","Security","Global","Executive floor physical access","Physical Access","Executive team and assistants","True","","","Department -eq 'Executive' -or Department -eq 'Senior Management'","","Restricted. Requests go through facilities, not the helpdesk.","Dan Jump",""
"After Hours Access","Security","Global","Building access after hours","Physical Access","Management and IT staff","True","","","Department -eq 'Operations' -and (Title -like '*IT*' -or Title -like '*Manager*')","","Out-of-hours building access. Reviewed twice yearly.","",""
"Conference Room Booking","Security","Global","Conference room booking rights","Resource Access","All employees","True","","","Enabled -eq 'True'","","","",""
"Expense System Access","Security","Global","Expense reporting system","Application Access","All employees except interns","True","","","Enabled -eq 'True' -and EmployeeType -ne 'Intern'","","","",""
"Payroll System Access","Security","Global","Payroll system access","Application Access","HR and finance teams","True","","","Department -eq 'Human Resources' -or (Department -eq 'Accounting' -and Title -like '*Manager*')","","SOX in scope. Access requires finance director sign-off.","Karim Manar","HR Applications"
"CRM System Access","Security","Global","CRM system access","Application Access","Sales and marketing teams","True","","","Department -eq 'Sales' -or Department -eq 'Sales Engagement Management' -or Department -eq 'Marketing' -or Department -eq 'CRM Strategy'","","","",""
"Project Management Tools","Security","Global","Project management software","Application Access","Project management teams","True","","","Department -eq 'Project Management'","","","",""
"Development Tools","Security","Global","Software development tools","Application Access","Engineering teams","True","","","Department -eq 'Engineering' -or Department -eq 'Engineering Operations'","","Licence-bearing. Membership is charged back to the cost centre.","Christine Koch","Engineering Computing"
"Design Tools","Security","Global","Design and creative software","Application Access","Marketing and creative teams","True","","","Department -eq 'Marketing' -or Department -eq 'Creative'","","Licence-bearing. Seats are limited - check before adding.","Kelly Krout",""
"Financial Applications","Security","Global","Financial software access","Application Access","Finance and accounting teams","True","","","Department -eq 'Accounting' -or Department -eq 'Finance'","","SOX in scope. Quarterly recertification required.","Diane Tibbot","Finance File Access"
"HR Applications","Security","Global","HR software access","Application Access","Human Resources team","True","","","Department -eq 'Human Resources'","","Contains personal data. GDPR review required before granting.","Amy Alberts",""
"Business Intelligence","Security","Global","BI and reporting tools","Application Access","Management and analysts","True","","","Title -like '*Analyst*' -or Title -like '*Manager*' -or Title -like '*Director*'","","","",""
"Database Access Read","Security","Global","Database read access","Application Access","Analysts and managers","True","","","Title -like '*Analyst*' -or Title -like '*Manager*' -or Title -like '*Director*'","","Read replica only. Safe to grant on request.","Chen Yang",""
"Database Access Write","Security","Global","Database write access","Application Access","Developers and data analysts","True","","","(Department -eq 'Engineering' -or Department -eq 'Engineering Operations') -and (Title -like '*Engineer*' -or Title -like '*Developer*')","","Write access to production databases. Change control applies.","Cliff Diddier","Database Access Read"
"Backup System Access","Security","Global","Backup and recovery access","Application Access","IT staff","True","","","Department -eq 'Operations' -and (Title -like '*IT*' -or Title -like '*Administrator*')","","Can restore over live data. Two-person rule applies.","Keith Dishmo",""
"Monitoring System Access","Security","Global","System monitoring access","Application Access","IT staff","True","","","Department -eq 'Operations' -and Title -like '*IT*'","","","",""
"Security Event Review","Security","Global","Security event log access","Application Access","IT security staff","True","","","Department -eq 'Operations' -and Title -like '*IT*'","","SIEM console access. Restricted to the security function.","Arturo Lopez",""
"Compliance Reporting","Security","Global","Compliance reporting access","Application Access","Compliance and audit staff","True","","","Department -eq 'Accounting' -or Department -eq 'Human Resources'","","Read-only access to the compliance reporting warehouse.","",""
"Zürich Site Access","Security","Global","Physical site access for the Zürich office","Physical Access","Manual assignment by facilities","False","","","","zurich-site","Badge access, Zürich. Approved by the site manager.","Björn Åberg",""
"Genève Finance Review","Security","Global","Finance review workspace for the Genève entity","Application Access","Manual assignment by finance","False","","","","geneve-finance","Entity reporting, Genève. SOX in scope.","François Lefèvre","Finance File Access"
"Ingénierie Réseau","Security","Global","Network engineering tooling - ingénierie réseau","Application Access","Manual assignment by engineering","False","","","","ingenierie-reseau","Outils réseau. Licence-bearing - check seats before adding.","José Niño","Engineering File Access"
