"Key","DisplayName","OperatingSystem","OperatingSystemVersion","IsCompliant","IsManaged","AccountEnabled","RegisteredOwner","Tier","Purpose"
"seaex001","SEA-EX-001","Android","14","TRUE","TRUE","TRUE","","Bulk","Bulk device volume, mapped from ADTestEnvironment (Exchange Server)"
"houdc001","HOU-DC-001","Windows","10.0.26100","FALSE","TRUE","TRUE","","Bulk","Bulk device volume, mapped from ADTestEnvironment (Domain Controller)"
"houfile001","HOU-FILE-001","Windows","10.0.19045","TRUE","TRUE","TRUE","","Bulk","Bulk device volume, mapped from ADTestEnvironment (File Server)"
"nycdc001","NYC-DC-001","Windows","10.0.19045","TRUE","TRUE","TRUE","","Bulk","Bulk device volume, mapped from ADTestEnvironment (Domain Controller)"
"nycfile001","NYC-FILE-001","Windows","10.0.26100","TRUE","TRUE","TRUE","","Bulk","Bulk device volume, mapped from ADTestEnvironment (File Server)"
"seaprint001","SEA-PRINT-001","IPhone","17.5.1","TRUE","TRUE","TRUE","","Bulk","Bulk device volume, mapped from ADTestEnvironment (Printer)"
"seaprint002","SEA-PRINT-002","IPhone","17.5.1","TRUE","TRUE","TRUE","","Bulk","Bulk device volume, mapped from ADTestEnvironment (Printer)"
"seaprint003","SEA-PRINT-003","IPhone","17.5.1","TRUE","TRUE","TRUE","","Bulk","Bulk device volume, mapped from ADTestEnvironment (Printer)"
"seaprint004","SEA-PRINT-004","IPhone","17.5.1","TRUE","TRUE","TRUE","","Bulk","Bulk device volume, mapped from ADTestEnvironment (Printer)"
"seacolor001","SEA-COLOR-001","Windows","10.0.26100","FALSE","TRUE","TRUE","","Bulk","Bulk device volume, mapped from ADTestEnvironment (Printer)"
"houprint001","HOU-PRINT-001","IPhone","17.5.1","FALSE","FALSE","TRUE","","Bulk","Bulk device volume, mapped from ADTestEnvironment (Printer)"
"nycprint001","NYC-PRINT-001","Windows","10.0.26100","FALSE","FALSE","TRUE","","Bulk","Bulk device volume, mapped from ADTestEnvironment (Printer)"
"mobile001","MOBILE-001","MacOS","14.5","TRUE","TRUE","TRUE","danj","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"mobile002","MOBILE-002","Windows","10.0.26100","TRUE","TRUE","TRUE","adamb","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"mobile003","MOBILE-003","IPhone","17.5.1","TRUE","TRUE","TRUE","alans","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"mobile004","MOBILE-004","Windows","10.0.19045","TRUE","TRUE","TRUE","chrisn","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"mobile005","MOBILE-005","IPhone","17.5.1","TRUE","TRUE","TRUE","dianet","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"tablet001","TABLET-001","Windows","10.0.26100","TRUE","TRUE","TRUE","christk","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"tablet002","TABLET-002","IPhone","17.5.1","FALSE","FALSE","TRUE","frankm1","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"laptop001","LAPTOP-001","Windows","10.0.19045","FALSE","TRUE","TRUE","danj","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"laptop002","LAPTOP-002","IPhone","17.5.1","FALSE","FALSE","TRUE","adamb","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"laptop003","LAPTOP-003","IPhone","17.5.1","FALSE","FALSE","TRUE","christk","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"seahumanr050","SEA-HUMANR-050","Android","14","FALSE","TRUE","TRUE","garthf","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile020","MOBILE-020","Windows","10.0.26100","FALSE","FALSE","TRUE","garthf","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"laptop050","LAPTOP-050","IPhone","17.5.1","TRUE","TRUE","TRUE","garthf","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"nycstrate051","NYC-STRATE-051","IPhone","17.5.1","FALSE","FALSE","TRUE","cesarg","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile021","MOBILE-021","Windows","10.0.19045","FALSE","FALSE","TRUE","cesarg","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"laptop051","LAPTOP-051","Windows","10.0.22631","FALSE","FALSE","TRUE","cesarg","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"seaexecut052","SEA-EXECUT-052","Android","14","TRUE","TRUE","TRUE","christg","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile022","MOBILE-022","MacOS","14.5","TRUE","TRUE","TRUE","christg","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"laptop052","LAPTOP-052","Android","14","FALSE","FALSE","TRUE","christg","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"seasalese053","SEA-SALESE-053","Windows","10.0.19045","TRUE","TRUE","TRUE","jackc","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile023","MOBILE-023","Windows","10.0.26100","TRUE","TRUE","TRUE","jackc","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"laptop053","LAPTOP-053","Windows","10.0.26100","TRUE","TRUE","TRUE","jackc","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"nycstrate054","NYC-STRATE-054","Windows","10.0.22631","TRUE","TRUE","TRUE","davidm","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile024","MOBILE-024","Windows","10.0.26100","FALSE","TRUE","TRUE","davidm","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"laptop054","LAPTOP-054","IPhone","17.5.1","TRUE","TRUE","TRUE","davidm","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"ricsales055","RIC-SALES-055","Windows","10.0.19045","FALSE","FALSE","TRUE","alanb","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile025","MOBILE-025","MacOS","14.5","TRUE","TRUE","TRUE","alanb","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"laptop055","LAPTOP-055","MacOS","14.5","TRUE","TRUE","TRUE","alanb","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"seasalese056","SEA-SALESE-056","Windows","10.0.19045","TRUE","TRUE","TRUE","davids","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile026","MOBILE-026","Windows","10.0.19045","FALSE","FALSE","TRUE","davids","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"laptop056","LAPTOP-056","MacOS","14.5","FALSE","TRUE","TRUE","davids","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"seasenior057","SEA-SENIOR-057","Android","14","FALSE","TRUE","TRUE","annal","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile027","MOBILE-027","Windows","10.0.19045","TRUE","TRUE","TRUE","annal","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"laptop057","LAPTOP-057","MacOS","14.5","TRUE","TRUE","TRUE","annal","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"belsales058","BEL-SALES-058","IPhone","17.5.1","TRUE","TRUE","TRUE","eduardd","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile028","MOBILE-028","MacOS","14.5","TRUE","TRUE","TRUE","eduardd","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"laptop058","LAPTOP-058","Windows","10.0.22631","TRUE","TRUE","TRUE","eduardd","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"belsales059","BEL-SALES-059","Android","14","FALSE","FALSE","TRUE","spencel","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile029","MOBILE-029","Windows","10.0.19045","TRUE","TRUE","TRUE","spencel","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"laptop059","LAPTOP-059","MacOS","14.5","FALSE","TRUE","TRUE","spencel","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"seaoperat060","SEA-OPERAT-060","MacOS","14.5","TRUE","TRUE","TRUE","kellyw","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile030","MOBILE-030","Windows","10.0.19045","TRUE","TRUE","TRUE","kellyw","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"seasenior061","SEA-SENIOR-061","IPhone","17.5.1","FALSE","TRUE","TRUE","mollyc","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile031","MOBILE-031","Windows","10.0.19045","FALSE","FALSE","TRUE","mollyc","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"laptop061","LAPTOP-061","IPhone","17.5.1","FALSE","TRUE","TRUE","mollyc","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"nycsales062","NYC-SALES-062","IPhone","17.5.1","FALSE","TRUE","TRUE","larryz","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile032","MOBILE-032","MacOS","14.5","FALSE","TRUE","TRUE","larryz","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"laptop062","LAPTOP-062","Windows","10.0.19045","TRUE","TRUE","TRUE","larryz","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"seaoperat063","SEA-OPERAT-063","Windows","10.0.22631","FALSE","TRUE","TRUE","arturol","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile033","MOBILE-033","Windows","10.0.19045","FALSE","TRUE","TRUE","arturol","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"laptop063","LAPTOP-063","Android","14","TRUE","TRUE","TRUE","arturol","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"chisales064","CHI-SALES-064","Windows","10.0.19045","TRUE","TRUE","TRUE","aprils","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile034","MOBILE-034","Windows","10.0.22631","FALSE","FALSE","TRUE","aprils","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"laptop064","LAPTOP-064","Windows","10.0.26100","FALSE","TRUE","TRUE","aprils","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"nycstrate065","NYC-STRATE-065","MacOS","14.5","TRUE","TRUE","TRUE","aaronp","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile035","MOBILE-035","MacOS","14.5","TRUE","TRUE","TRUE","aaronp","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"laptop065","LAPTOP-065","Android","14","FALSE","TRUE","TRUE","aaronp","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"seaprojec066","SEA-PROJEC-066","Android","14","TRUE","TRUE","TRUE","andrewm","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile036","MOBILE-036","Android","14","TRUE","TRUE","TRUE","andrewm","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"laptop066","LAPTOP-066","IPhone","17.5.1","FALSE","TRUE","TRUE","andrewm","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"seamarket067","SEA-MARKET-067","Android","14","FALSE","TRUE","TRUE","dianep","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile037","MOBILE-037","Windows","10.0.19045","TRUE","TRUE","TRUE","dianep","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"laptop067","LAPTOP-067","Windows","10.0.22631","TRUE","TRUE","TRUE","dianep","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"seasalese068","SEA-SALESE-068","Windows","10.0.19045","FALSE","TRUE","TRUE","arthury","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile038","MOBILE-038","MacOS","14.5","TRUE","TRUE","TRUE","arthury","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"laptop068","LAPTOP-068","Windows","10.0.22631","TRUE","TRUE","TRUE","arthury","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"nycstrate069","NYC-STRATE-069","Windows","10.0.26100","FALSE","FALSE","TRUE","brads","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile039","MOBILE-039","MacOS","14.5","TRUE","TRUE","TRUE","brads","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"laptop069","LAPTOP-069","Windows","10.0.22631","TRUE","TRUE","TRUE","brads","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"seahumanr070","SEA-HUMANR-070","Windows","10.0.26100","TRUE","TRUE","TRUE","amya","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile040","MOBILE-040","Windows","10.0.19045","TRUE","TRUE","TRUE","amya","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"laptop070","LAPTOP-070","MacOS","14.5","TRUE","TRUE","TRUE","amya","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"seasales071","SEA-SALES-071","MacOS","14.5","TRUE","TRUE","TRUE","stevel","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile041","MOBILE-041","IPhone","17.5.1","FALSE","FALSE","TRUE","stevel","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"laptop071","LAPTOP-071","Windows","10.0.22631","FALSE","TRUE","TRUE","stevel","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"seasenior072","SEA-SENIOR-072","Android","14","TRUE","TRUE","TRUE","juliani","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile042","MOBILE-042","IPhone","17.5.1","TRUE","TRUE","TRUE","juliani","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"laptop072","LAPTOP-072","Windows","10.0.26100","FALSE","TRUE","TRUE","juliani","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"seaprojec073","SEA-PROJEC-073","Windows","10.0.22631","FALSE","TRUE","TRUE","scottb","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile043","MOBILE-043","MacOS","14.5","TRUE","TRUE","TRUE","scottb","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"laptop073","LAPTOP-073","MacOS","14.5","TRUE","TRUE","TRUE","scottb","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"seamarket074","SEA-MARKET-074","Windows","10.0.19045","FALSE","FALSE","TRUE","kellyk","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile044","MOBILE-044","IPhone","17.5.1","TRUE","TRUE","TRUE","kellyk","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"laptop074","LAPTOP-074","IPhone","17.5.1","TRUE","TRUE","TRUE","kellyk","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"seaconten075","SEA-CONTEN-075","Windows","10.0.19045","TRUE","TRUE","TRUE","stano","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile045","MOBILE-045","Windows","10.0.26100","FALSE","TRUE","TRUE","stano","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"laptop075","LAPTOP-075","Windows","10.0.26100","TRUE","TRUE","TRUE","stano","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"seaprojec076","SEA-PROJEC-076","MacOS","14.5","TRUE","TRUE","TRUE","miken","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile046","MOBILE-046","MacOS","14.5","FALSE","TRUE","TRUE","miken","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"laptop076","LAPTOP-076","Windows","10.0.22631","FALSE","FALSE","TRUE","miken","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"seastrate077","SEA-STRATE-077","IPhone","17.5.1","FALSE","FALSE","TRUE","jennim","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile047","MOBILE-047","MacOS","14.5","FALSE","FALSE","TRUE","jennim","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"seaoperat078","SEA-OPERAT-078","MacOS","14.5","FALSE","FALSE","TRUE","keithd","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile048","MOBILE-048","Windows","10.0.22631","TRUE","TRUE","TRUE","keithd","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"laptop078","LAPTOP-078","IPhone","17.5.1","TRUE","TRUE","TRUE","keithd","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"seasales079","SEA-SALES-079","IPhone","17.5.1","TRUE","TRUE","TRUE","joses","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile049","MOBILE-049","MacOS","14.5","TRUE","TRUE","TRUE","joses","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"laptop079","LAPTOP-079","Android","14","FALSE","FALSE","TRUE","joses","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"remsalese080","REM-SALESE-080","Android","14","FALSE","FALSE","TRUE","lenea","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile050","MOBILE-050","IPhone","17.5.1","TRUE","TRUE","TRUE","lenea","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"laptop080","LAPTOP-080","IPhone","17.5.1","TRUE","TRUE","TRUE","lenea","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"seaprojec081","SEA-PROJEC-081","Windows","10.0.22631","TRUE","TRUE","TRUE","barryj","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile051","MOBILE-051","Windows","10.0.19045","TRUE","TRUE","TRUE","barryj","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"laptop081","LAPTOP-081","MacOS","14.5","FALSE","TRUE","TRUE","barryj","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"nycstrate082","NYC-STRATE-082","Windows","10.0.26100","TRUE","TRUE","TRUE","ellena","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile052","MOBILE-052","Windows","10.0.26100","TRUE","TRUE","TRUE","ellena","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"laptop082","LAPTOP-082","MacOS","14.5","TRUE","TRUE","TRUE","ellena","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"seaoperat083","SEA-OPERAT-083","Android","14","FALSE","FALSE","TRUE","bens","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile053","MOBILE-053","Windows","10.0.22631","FALSE","FALSE","TRUE","bens","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"laptop083","LAPTOP-083","Windows","10.0.19045","TRUE","TRUE","TRUE","bens","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"seaengengine084","SEA-ENG-ENGINE-084","Android","14","FALSE","TRUE","TRUE","davidz","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile054","MOBILE-054","Windows","10.0.26100","FALSE","FALSE","TRUE","davidz","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"laptop084","LAPTOP-084","Android","14","TRUE","TRUE","TRUE","davidz","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"seaengengine085","SEA-ENG-ENGINE-085","Windows","10.0.22631","FALSE","TRUE","TRUE","carolt","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile055","MOBILE-055","Windows","10.0.19045","FALSE","FALSE","TRUE","carolt","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"laptop085","LAPTOP-085","Windows","10.0.26100","TRUE","TRUE","TRUE","carolt","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"seaoperat086","SEA-OPERAT-086","MacOS","14.5","FALSE","FALSE","TRUE","erikac","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile056","MOBILE-056","Windows","10.0.26100","TRUE","TRUE","TRUE","erikac","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"laptop086","LAPTOP-086","IPhone","17.5.1","FALSE","FALSE","TRUE","erikac","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"seaprojec087","SEA-PROJEC-087","Windows","10.0.19045","TRUE","TRUE","TRUE","briang","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile057","MOBILE-057","Windows","10.0.26100","TRUE","TRUE","TRUE","briang","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"laptop087","LAPTOP-087","IPhone","17.5.1","TRUE","TRUE","TRUE","briang","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"loncrmstr088","LON-CRMSTR-088","Windows","10.0.26100","FALSE","FALSE","TRUE","syeda","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile058","MOBILE-058","Windows","10.0.22631","FALSE","FALSE","TRUE","syeda","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"laptop088","LAPTOP-088","Windows","10.0.19045","TRUE","TRUE","TRUE","syeda","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"lonconten089","LON-CONTEN-089","Windows","10.0.26100","TRUE","TRUE","TRUE","pedert","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile059","MOBILE-059","Windows","10.0.26100","FALSE","FALSE","TRUE","pedert","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"lonconten090","LON-CONTEN-090","MacOS","14.5","FALSE","FALSE","TRUE","maryc","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile060","MOBILE-060","Windows","10.0.19045","TRUE","TRUE","TRUE","maryc","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"lonconten091","LON-CONTEN-091","MacOS","14.5","TRUE","TRUE","TRUE","lisaa","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile061","MOBILE-061","Windows","10.0.26100","FALSE","FALSE","TRUE","lisaa","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"lonconten092","LON-CONTEN-092","Windows","10.0.19045","TRUE","TRUE","TRUE","jiml","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile062","MOBILE-062","MacOS","14.5","FALSE","FALSE","TRUE","jiml","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"lonconten093","LON-CONTEN-093","IPhone","17.5.1","TRUE","TRUE","TRUE","garethc","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile063","MOBILE-063","Windows","10.0.22631","FALSE","FALSE","TRUE","garethc","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"loncrmstr094","LON-CRMSTR-094","Windows","10.0.26100","TRUE","TRUE","TRUE","karinl","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile064","MOBILE-064","Windows","10.0.19045","TRUE","TRUE","TRUE","karinl","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"lonconten095","LON-CONTEN-095","Windows","10.0.26100","FALSE","FALSE","TRUE","davidh","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile065","MOBILE-065","Windows","10.0.19045","TRUE","TRUE","TRUE","davidh","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"loncrmstr096","LON-CRMSTR-096","Android","14","FALSE","TRUE","TRUE","meravs","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile066","MOBILE-066","Windows","10.0.22631","TRUE","TRUE","TRUE","meravs","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
"lonconten097","LON-CONTEN-097","IPhone","17.5.1","FALSE","TRUE","TRUE","reinac","Bulk","Bulk device volume, mapped from ADTestEnvironment (Workstation)"
"mobile067","MOBILE-067","Windows","10.0.19045","FALSE","FALSE","TRUE","reinac","Bulk","Bulk device volume, mapped from ADTestEnvironment (Mobile Device)"
