"Key","DisplayName","GroupKind","MembershipType","MembershipRule","Members","MemberGroups","IsAssignableToRole","Tier","Purpose"
"projectmanagement","Project Management","Security","Assigned","","michael;tinam;johny;thomash;corinnb","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Departmental)"
"strategyconsulting","Strategy Consulting","Security","Assigned","","humbera;mbell;larss;peters;thomash;annal;garthf","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Departmental)"
"contentmanagement","Content Management","Security","Assigned","","simonp;arleneh;job;juliani;christg","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Departmental)"
"crmstrategy","CRM Strategy","Security","Assigned","","vladime;lolans;jordaom","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Departmental)"
"seniormanagement","Senior Management","Security","Assigned","","jjiang;aylak;karimm","executives","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Departmental)"
"directors","Directors","Security","Assigned","","talvarez;jamesw2;krisj;karenb;susant;kaia;olivief;jordaom","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Management Level)"
"managers","Managers","Security","Assigned","","michellt;lisam;dianep","directors;vpsandabove","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Management Level)"
"vpsandabove","VPs and Above","Security","Assigned","","vernettp;praghunathan;cliffd;doughm;parnak","clevel","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Management Level)"
"clevel","C-Level","Security","Assigned","","tedb;tobyn;davidb;patriciag","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Management Level)"
"seattlemainoffice","Seattle Main Office","Security","Assigned","","cesarg;ellena;justint;christg;annal;bernart","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Geographic)"
"seattleengineeringoffice","Seattle Engineering Office","Security","Assigned","","christopherm;christg;chrisn","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Geographic)"
"seattlefinanceoffice","Seattle Finance Office","Security","Assigned","","ginab;dannio;olgas;danj;jackc;jiml","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Geographic)"
"houstonoffice","Houston Office","Security","Assigned","","francoisl;michelf;brianc;eduardd;svenb;joell;amya","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Geographic)"
"newyorkoffice","New York Office","Security","Assigned","","tedb;jeremyl;thomasw","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Geographic)"
"chicagooffice","Chicago Office","Security","Assigned","","roby;tado;williav;reneed","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Geographic)"
"atlantaoffice","Atlanta Office","Security","Assigned","","tomy;michiko;cesarg;stuartm;mchielw;miket;magnush","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Geographic)"
"bostonoffice","Boston Office","Security","Assigned","","jennim;cassieh;mariar","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Geographic)"
"losangelesoffice","Los Angeles Office","Security","Assigned","","cheny;raym;mariar;anud;arturol;blained","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Geographic)"
"richmondoffice","Richmond Office","Security","Assigned","","kerimh;kennetc;jong","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Geographic)"
"londonoffice","London Office","Security","Assigned","","lolans;roberto;karinl;qiongw;markoz;dominip;frankm1;jeffh","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Geographic)"
"remoteworkers","Remote Workers","Security","Assigned","","chrisjoh;davidb;jenniferw;davids;simonp;susant","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Geographic)"
"fulltimeemployees","Full Time Employees","Security","Assigned","","markh;qiongw;roby;schaudhary;hazema;seanc;karenb;alexans","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Employment Type)"
"contractworkers","Contract Workers","Security","Assigned","","tinam;matth;stevenw;thomasw;tyc;carolt;anneliz","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Employment Type)"
"internemployees","Intern Employees","Security","Assigned","","kima;johny;phyllih;jimd;olivief;tonym;jweiss","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Employment Type)"
"mobiledeviceusers","Mobile Device Users","Security","Assigned","","chrisn;roby;jeremyl;reneel;donh","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Device Access)"
"laptopusers","Laptop Users","Security","Assigned","","jank;jesuse;corinnb;tonyw;davidm;eranh;junc","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Device Access)"
"workstationusers","Workstation Users","Security","Assigned","","kenm;alfonsp;davids;stuartm;junc","engineeringcomputing","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Device Access)"
"executivecomputing","Executive Computing","Security","Assigned","","danb;lisaa;emilyr;patriciag;pieterw;kirkj;michaeo;kevina","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Device Access)"
"engineeringcomputing","Engineering Computing","Security","Assigned","","jamier;chasec;yex;erica;zmueller;vernettp;kennetc","developmenttools","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Device Access)"
"salescomputing","Sales Computing","Security","Assigned","","andersm;lenea;lukask;ellena;valeryu;cassieh","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Device Access)"
"fileshareusers","File Share Users","Security","Assigned","","dominip;jamier;nedf;zmueller;erikg;andrewm;jonj","workstationusers;executivefileaccess;engineeringfileaccess;colorprinteraccess","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Resource Access)"
"executivefileaccess","Executive File Access","Security","Assigned","","parnak;kenm;malahmad;joshe;tonym;jong;johnev","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Resource Access)"
"financefileaccess","Finance File Access","Security","Assigned","","jasonc;richart;rolandw;davidb1","financialapplications;genvefinancereview","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Resource Access)"
"hrfileaccess","HR File Access","Security","Assigned","","markj;andersm;magnush;kellyk;williav;maried;gpapadopoulos;simonp","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Resource Access)"
"engineeringfileaccess","Engineering File Access","Security","Assigned","","tyc;larsh;johng;krisj;danp;thomasw;mbell;kerimh","ingnierierseau","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Resource Access)"
"projectfileaccess","Project File Access","Security","Assigned","","jellev;christk;tonip;johnev","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Resource Access)"
"emailusers","Email Users","Security","Assigned","","miket;carolt;christr;nunof","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Resource Access)"
"calendarusers","Calendar Users","Security","Assigned","","jennim;lisamart;michellt","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Resource Access)"
"internetaccessbasic","Internet Access Basic","Security","Assigned","","chrisn;jasonc;mchielw;amiliag","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Resource Access)"
"internetaccessfull","Internet Access Full","Security","Assigned","","francoisl;adamb;carlosg;humbera;lisaa;stano;meravs","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Resource Access)"
"softwareinstallation","Software Installation","Security","Assigned","","tonip;davidb;chrisjohn;danb","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Resource Access)"
"printeraccessmain","Printer Access Main","Security","Assigned","","stuartm;sameert;alexans;rolandw;danh;jiml;elizaba","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Resource Access)"
"printeraccessengineering","Printer Access Engineering","Security","Assigned","","michaeld;margara;jasonc;francoisl","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Resource Access)"
"printeraccessfinance","Printer Access Finance","Security","Assigned","","lubork;howardg;jesuse;cesarg","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Resource Access)"
"colorprinteraccess","Color Printer Access","Security","Assigned","","mollyc;tinal;hugog","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Resource Access)"
"serverroomaccess","Server Room Access","Security","Assigned","","gpapadopoulos;jackc;amya;johng;scottb","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Physical Access)"
"executiveflooraccess","Executive Floor Access","Security","Assigned","","johng;jellev;neilo;dianeg;alfonsp;ginab;elizaba","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Physical Access)"
"afterhoursaccess","After Hours Access","Security","Assigned","","annew;lucad;marcf;christg;alisal;jeremyl","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Physical Access)"
"conferenceroombooking","Conference Room Booking","Security","Assigned","","phyllih;brianc;scottm;michaem;richart;christj;justint","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Resource Access)"
"expensesystemaccess","Expense System Access","Security","Assigned","","luisb;jellev;jweiss","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Application Access)"
"payrollsystemaccess","Payroll System Access","Security","Assigned","","nates;karinl;maryc;nancyw;richart;christg;tedb","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Application Access)"
"crmsystemaccess","CRM System Access","Security","Assigned","","tyoshida;stevenw;garthf;michaem","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Application Access)"
"projectmanagementtools","Project Management Tools","Security","Assigned","","robiny;tyc;dianep;andread;allang","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Application Access)"
"developmenttools","Development Tools","Security","Assigned","","lolans;scottr;davids1;patriciag","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Application Access)"
"designtools","Design Tools","Security","Assigned","","stephed;michellt;jordaom","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Application Access)"
"financialapplications","Financial Applications","Security","Assigned","","rolandw;cheny;hugog;svenb;pavels;alanb","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Application Access)"
"hrapplications","HR Applications","Security","Assigned","","joell;dannio;garthf;marus;davidm;francoisl;scottm;lukask","payrollsystemaccess","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Application Access)"
"businessintelligence","Business Intelligence","Security","Assigned","","davidm;larsh;richart;simonr;alexans","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Application Access)"
"databaseaccessread","Database Access Read","Security","Assigned","","michiko;brads;svcreporting","databaseaccesswrite","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Application Access)"
"databaseaccesswrite","Database Access Write","Security","Assigned","","michaem;malahmad;davidm","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Application Access)"
"backupsystemaccess","Backup System Access","Security","Assigned","","davidd;sunilu;nikosd","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Application Access)"
"monitoringsystemaccess","Monitoring System Access","Security","Assigned","","guidop;dianeg;hugog;eranh;lubork;kirkj;jeffh;elizaba","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Application Access)"
"securityeventreview","Security Event Review","Security","Assigned","","robiny;fatimah;michaez;gregw;frankm;erica","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Application Access)"
"compliancereporting","Compliance Reporting","Security","Assigned","","maurict;ivos;larryz;gregw;jong","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Application Access)"
"zrichsiteaccess","Zürich Site Access","Security","Assigned","","michael;treyp;seanc;jenniferw;tyc","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Physical Access)"
"genvefinancereview","Genève Finance Review","Security","Assigned","","ibent;pieterw;michellt;stano","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Application Access)"
"ingnierierseau","Ingénierie Réseau","Security","Assigned","","tinam;simonp;tonym;praghunathan;svcreporting;jeffh","","FALSE","Bulk","Bulk directory volume, mapped from ADTestEnvironment (Application Access)"
